gps_time,x,y,z,ve(m/s),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2022-12-17-16-42-21-550,5.73936094530862,11.471734923516244,0.0770870584094352,1.4427,2.8233,0.0174,0.04148843697042702,0.018954816048048127,0.46388856997628003
2022-12-17-16-42-21-600,5.811430005321234,11.612938873183445,0.07798673733205419,1.4354,2.822,0.0164,0.04154947677178275,0.01875033566398555,0.4641910292175587
2022-12-17-16-42-21-650,5.883162317000783,11.754173860194634,0.07868641071784133,1.4305,2.8235,0.0144,0.04136977906826081,0.018687513235691715,0.46442971081184403
2022-12-17-16-42-21-700,5.954575252042053,11.89530464686991,0.07948608286092274,1.4285,2.8217,0.0156,0.041254998938626684,0.018591707959166124,0.46463726601226296
2022-12-17-16-42-21-750,6.025921603829384,12.036513031084183,0.08028575011793926,1.4257,2.8245,0.0156,0.04115343503550061,0.01846746589351145,0.4648546773313141
2022-12-17-16-42-21-800,6.09736058826596,12.177677075099012,0.08118541341464258,1.4278,2.8258,0.0142,0.040633339135711065,0.018284533257127533,0.4650472873995212
2022-12-17-16-42-21-850,6.168845881478327,12.318959730956438,0.0819850725803688,1.4305,2.8277,0.017,0.03996820824258309,0.017975606628492374,0.4652664535598688
2022-12-17-16-42-21-900,6.24042187145086,12.460138187497442,0.08308472608782846,1.4327,2.8261,0.0258,0.039347038563028,0.01732843752956191,0.4654895872899385
2022-12-17-16-42-21-950,6.311927425037432,12.601401999698982,0.08408437865241769,1.4349,2.8224,0.0189,0.03914002947613196,0.016587311126171157,0.46570731669524573
2022-12-17-16-42-22-000,6.3835285017019805,12.742588216820998,0.08478402603759516,1.4364,2.8204,0.0125,0.039174940703747656,0.01598529770924707,0.4659344921191707
2022-12-17-16-42-22-050,6.455248255845504,12.883748937490651,0.08528366838227175,1.4371,2.8157,0.0087,0.039242350537994145,0.015622186688211921,0.4660479642816101
2022-12-17-16-42-22-100,6.5271561565627705,13.024710122089825,0.08548330737811582,1.444,2.8116,0.0073,0.039319294285639524,0.015278496835881636,0.46608844892148615
2022-12-17-16-42-22-150,6.599073708694091,13.165603688711052,0.08558294358730478,1.4414,2.8102,0.0035,0.03958108669212167,0.01502520804003435,0.4661766570415772
2022-12-17-16-42-22-200,6.67095845169087,13.306390837090134,0.08568257466319462,1.4409,2.8089,0.0058,0.03993022369959413,0.014794296529405908,0.4662518331546627
2022-12-17-16-42-22-250,6.742848017035966,13.447150272616925,0.08578220279807347,1.4404,2.808,0.0069,0.04038671955709492,0.01463682562881471,0.4663191551813945
2022-12-17-16-42-22-300,6.814705740438198,13.587909708330793,0.08588182595196603,1.4398,2.8098,0.0044,0.040871626564838066,0.014611037795704544,0.4662529465874589
2022-12-17-16-42-22-350,6.886505568908957,13.728774455289185,0.08598144754559645,1.4374,2.811,0.0047,0.0413009410834473,0.014701910963750215,0.46610577344361387
2022-12-17-16-42-22-400,6.958146189688458,13.869621465355504,0.08628106311695127,1.4305,2.8145,0.0096,0.041429553732801654,0.014696493932990922,0.4659952076558047
2022-12-17-16-42-22-450,7.029562955869819,14.010507275585095,0.08668067669740154,1.4268,2.8124,0.0122,0.041380639152638544,0.014537153889490593,0.4659029644217495
2022-12-17-16-42-22-500,7.100780951206005,14.151363154911376,0.08708028470071483,1.4264,2.8109,0.0114,0.0413656685211664,0.014357202083482859,0.4659212304093824
2022-12-17-16-42-22-550,7.171840706801781,14.29217580375247,0.08747988972782572,1.4238,2.8076,0.0132,0.04156763763823475,0.014241444150588593,0.4659210126970115
2022-12-17-16-42-22-600,7.242981510546584,14.432835475244932,0.08787949188681665,1.4233,2.8072,0.0107,0.04166280045906268,0.01421246845614637,0.4658495923055834
2022-12-17-16-42-22-650,7.314259326155725,14.57341090025489,0.08817908844689892,1.4256,2.8062,0.0062,0.04158763703452079,0.014354287732697878,0.46567856454257406
2022-12-17-16-42-22-700,7.385521699042556,14.71412599773365,0.08807868259913221,1.4274,2.8096,-0.0023,0.04157251318059361,0.0146284667932413,0.4655273080264109
2022-12-17-16-42-22-750,7.45677538728278,14.854986313254832,0.08787827199551312,1.4305,2.8137,-0.0032,0.041579111659630165,0.014892867716463596,0.46543650372905754
2022-12-17-16-42-22-800,7.528032932073276,14.995890970208661,0.08757785669634188,1.4292,2.8145,-0.0035,0.041746157244511584,0.014857973767607493,0.4653684732033692
2022-12-17-16-42-22-850,7.599413983596001,15.136953037024426,0.08727743805764998,1.4285,2.8202,-0.0048,0.04179628926164112,0.014736899614171529,0.46531368159346914
2022-12-17-16-42-22-900,7.670787311441272,15.27798406631438,0.08697701581232842,1.4287,2.8168,-0.0019,0.04161395040372202,0.014437809120148543,0.46522239766218404
2022-12-17-16-42-22-950,7.742136517190216,15.419194677573172,0.08677658744213002,1.4311,2.818,-0.0036,0.041447666951765064,0.014321919729055018,0.4651150810665769
2022-12-17-16-42-23-000,7.813456771627253,15.56039863761078,0.08637615711701141,1.4299,2.8178,-0.0054,0.04146026854312373,0.01430498364740561,0.46498586029215133
2022-12-17-16-42-23-050,7.8845956290815336,15.7017012566033,0.08627572083192181,1.4268,2.8233,-0.0028,0.0414587853099655,0.014403391314565677,0.46481310666031106
2022-12-17-16-42-23-100,7.955423791881078,15.842888591031084,0.08627528296938891,1.4236,2.8246,-0.0004,0.04118440848616453,0.01430408380800316,0.4646241767759113
2022-12-17-16-42-23-150,8.026158357531585,15.984206731630692,0.08657483919309783,1.4214,2.8274,0.0012,0.040805544210567354,0.014027914234354422,0.4644378732455167
2022-12-17-16-42-23-200,8.096797398911477,16.12554925877959,0.08667439385054898,1.4218,2.8255,-0.0002,0.04042551770276798,0.013645696291146236,0.46422104621033927
2022-12-17-16-42-23-250,8.1673862633336,16.267022593897906,0.08687394306141627,1.4222,2.8268,0.001,0.04010636450936697,0.013347541206335856,0.46402855147348904
2022-12-17-16-42-23-300,8.238056179592094,16.408376208904652,0.0871734891177871,1.4213,2.8252,0.0051,0.03987165414999522,0.013133239191347188,0.46380000926477355
2022-12-17-16-42-23-350,8.308952837750645,16.549827375128434,0.0874730301057669,1.4278,2.8245,0.0036,0.039762611493571055,0.013101304640224059,0.4635351300340697
2022-12-17-16-42-23-400,8.37993730157711,16.69107124675816,0.08787256750913475,1.4324,2.8233,0.0065,0.03977350196413106,0.012928194594697313,0.46329618529649313
2022-12-17-16-42-23-450,8.451052985255673,16.83234948469633,0.0883721002764073,1.4324,2.821,0.008,0.04000244332964656,0.012688150997823661,0.4630560037662487
2022-12-17-16-42-23-500,8.522210160687052,16.973601117774265,0.08877163034445879,1.4296,2.8264,0.0059,0.04026073879443941,0.012405408444398743,0.46288757870803304
2022-12-17-16-42-23-550,8.5933026819524,17.114960278114488,0.0890711556242465,1.4271,2.8254,0.0036,0.040384508661264945,0.012221573647324466,0.4627602901527157
2022-12-17-16-42-23-600,8.664343102287766,17.2564114454476,0.0891706759183668,1.4273,2.8278,-0.0013,0.04057760817215429,0.012170046256911253,0.4626643061021149
2022-12-17-16-42-23-650,8.735342993470546,17.397929125927867,0.08917019399593418,1.4248,2.829,-0.0048,0.0407721147674866,0.01238113684862296,0.4625502651019656
2022-12-17-16-42-23-700,8.80634963629446,17.539522184745064,0.08886970725971555,1.4237,2.8316,-0.0092,0.040947516657214016,0.01270112682268054,0.46237501716773155
2022-12-17-16-42-23-750,8.877338907810907,17.681208360494683,0.08866921455805699,1.4237,2.8359,-0.0071,0.04090894969785367,0.013013037301111493,0.4621853649439143
2022-12-17-16-42-23-800,8.948269324277543,17.82290340448932,0.0883687214902027,1.4257,2.8351,-0.0076,0.04070345915212663,0.013007131455988594,0.4619840328720229
2022-12-17-16-42-23-850,9.01914570134154,17.964734797151,0.08816822233745114,1.4267,2.8353,-0.0086,0.04050031677237521,0.012905189200387265,0.4618498996066181
2022-12-17-16-42-23-900,9.0899429569379,18.10670919080232,0.08796771879277365,1.4227,2.8373,-0.0073,0.040115875663672425,0.012806645257919204,0.4617711621841005
2022-12-17-16-42-23-950,9.160700651741704,18.24888644448353,0.08776721003743848,1.423,2.8419,-0.0075,0.03968989252481963,0.012804172562701438,0.46175865552119993
2022-12-17-16-42-24-000,9.231464131533585,18.390987210925992,0.08746669775476512,1.4248,2.8385,-0.0087,0.03954861075731786,0.012789348538886457,0.4618023082478274
2022-12-17-16-42-24-050,9.30214076900619,18.533228759942496,0.0870661817974474,1.4272,2.8402,-0.0062,0.03961910891676917,0.012877594776968366,0.4617865965495549
2022-12-17-16-42-24-100,9.372833810355276,18.675347262325612,0.0866656623552089,1.4326,2.838,-0.0037,0.039665325846227215,0.012723803641305605,0.46170838667025693
2022-12-17-16-42-24-150,9.443649391240818,18.817584377977234,0.08636513831936732,1.4339,2.8396,-0.0032,0.039645169125962394,0.012480024219527937,0.4616293851096103
2022-12-17-16-42-24-200,9.514529615111643,18.959784913151104,0.08616461063549963,1.4339,2.8394,-0.0,0.03959798277082462,0.01218663325525697,0.4615931390541827
2022-12-17-16-42-24-250,9.585425276864367,19.10218720130433,0.08596407765878666,1.4347,2.8405,-0.0003,0.03966826639440426,0.012092410922549769,0.4616483274297816
2022-12-17-16-42-24-300,9.6563421644398,19.244629396748273,0.08576354070508607,1.4339,2.8439,0.0011,0.03985593520860628,0.01202746202000189,0.46177758096403726
2022-12-17-16-42-24-350,9.727401849393821,19.387087111291237,0.08556299938416956,1.4362,2.8422,-0.0011,0.04002948907390851,0.012039093347922787,0.4619270876130923
2022-12-17-16-42-24-400,9.798561882666421,19.529596926790106,0.08526245402372545,1.439,2.8457,-0.0062,0.040221770409351106,0.012137928655656178,0.4620609873883498
2022-12-17-16-42-24-450,9.869811648989867,19.672117827953826,0.08486190457546527,1.4403,2.8444,-0.0045,0.0403058738990139,0.012105090198513439,0.46213517269547216
2022-12-17-16-42-24-500,9.941135707646245,19.814695265182323,0.08446134977012143,1.4439,2.8456,-0.0052,0.04049131143194028,0.011903318129117641,0.46216362929408833
2022-12-17-16-42-24-550,10.012429856586092,19.957406833220162,0.08406079235629704,1.4409,2.8495,-0.0087,0.04064474138916763,0.011660241429256705,0.46224117957855543
